Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
20,20,700,10,10,100,100,14.52123919,18.8,57.6,2450,398.8590112
20,40,700,10,10,100,100,14.52123919,4.7,57.6,2450,797.7180224
40,10,700,10,10,100,100,14.52123919,8,57.6,2450,199.4295056
40,20,700,10,10,100,100,14.52123919,14.6,57.6,2450,398.8590112
40,40,700,10,10,100,100,14.52123919,6.1,57.6,2450,797.7180224
10,10,1000,10,10,100,100,13.35130455,21.2,57.6,5000,212.815421
10,20,1000,10,10,100,100,13.35130455,5.3,57.6,5000,425.6308421
10,40,1000,10,10,100,100,13.35130455,9,57.6,5000,851.2616841
20,10,1000,10,10,100,100,13.35130455,16.4,57.6,5000,212.815421
20,20,1000,10,10,100,100,13.35130455,6.9,57.6,5000,425.6308421
20,40,1000,10,10,100,100,13.35130455,10.6,57.6,5000,851.2616841
40,10,1000,10,10,100,100,13.35130455,18,57.6,5000,212.815421
40,20,1000,10,10,100,100,13.35130455,10.1,57.6,5000,425.6308421
40,40,1000,10,10,100,100,13.35130455,13.8,57.6,5000,851.2616841
10,10,1300,10,10,100,100,13.50318198,12.4,57.6,8450,215.4258901
10,20,1300,10,10,100,100,13.50318198,18.8,57.6,8450,430.8517802
10,40,1300,10,10,100,100,13.50318198,31.6,57.6,8450,861.7035605
20,10,1300,10,10,100,100,13.50318198,18.4,57.6,8450,215.4258901
20,20,1300,10,10,100,100,13.50318198,24.8,57.6,8450,430.8517802
20,40,1300,10,10,100,100,13.50318198,37.6,57.6,8450,861.7035605
40,10,1300,10,10,100,100,13.50318198,9.4,57.6,8450,215.4258901
40,20,1300,10,10,100,100,13.50318198,15.8,57.6,8450,430.8517802
40,40,1300,10,10,100,100,13.50318198,28.6,57.6,8450,861.7035605
10,10,400,10,40,70,100,12.5921502,9.6,55.44,800,142.0748178
10,20,400,10,40,70,100,12.5921502,14.8,55.44,800,284.1496356
10,40,400,10,40,70,100,12.5921502,3.7,55.44,800,568.2992712
